block,line,page,text,word_no,x0,x1,y0,y1
4,1,2,de,2,132.13589477539062,143.73590087890625,649.398193359375,661.9981689453125
4,1,2,mano,3,146.15589904785156,172.7259063720703,649.398193359375,661.9981689453125
4,1,2,y,4,175.14590454101562,180.64590454101562,649.398193359375,661.9981689453125
4,1,2,natilla.,5,183.06590270996094,213.89590454101562,649.398193359375,661.9981689453125
5,0,2,LAS,0,63.761199951171875,80.01520538330078,695.85302734375,707.1929931640625
5,0,2,CACHAPAS,1,82.27420806884766,129.7852020263672,695.85302734375,707.1929931640625
5,0,2,SON,2,132.044189453125,151.3851776123047,695.85302734375,707.1929931640625
5,0,2,UNA,3,153.6441650390625,173.4441680908203,695.85302734375,707.1929931640625
5,0,2,JOYA,4,175.70315551757812,197.59115600585938,695.85302734375,707.1929931640625
5,0,2,DE,5,199.8501434326172,211.4241485595703,695.85302734375,707.1929931640625
5,0,2,LA,6,213.68313598632812,224.8881378173828,695.85302734375,707.1929931640625
5,0,2,GASTRONOMÍA,7,227.14712524414062,294.287109375,695.85302734375,707.1929931640625
5,0,2,VENEZOLANA:,8,296.2743225097656,359.1573791503906,695.85302734375,707.1929931640625
5,0,2,es,9,361.443359375,370.9023742675781,695.916015625,707.1929931640625
5,0,2,una,10,373.1883544921875,388.5873718261719,695.916015625,707.1929931640625
5,0,2,especie,11,390.87335205078125,422.44537353515625,695.916015625,707.1929931640625
5,0,2,de,12,424.7313537597656,435.1083679199219,695.916015625,707.1929931640625
5,0,2,panqueque,13,437.39434814453125,484.19439697265625,695.916015625,707.1929931640625
5,0,2,elabo-,14,486.4803771972656,512.409423828125,695.916015625,707.1929931640625
5,1,2,rada,0,63.761199951171875,81.59019470214844,706.7160034179688,717.9929809570312
5,1,2,con,1,83.96619415283203,99.32109832763672,706.7160034179688,717.9929809570312
5,1,2,maíz,2,101.69709777832031,121.2000961303711,706.7160034179688,717.9929809570312
5,1,2,tierno,3,123.57609558105469,148.05609130859375,706.7160034179688,717.9929809570312
5,1,2,"molido,",4,150.43209838867188,181.86012268066406,706.7160034179688,717.9929809570312
5,1,2,suave,5,184.2361297607422,208.12213134765625,706.7160034179688,717.9929809570312
5,1,2,y,6,210.49813842773438,215.35813903808594,706.7160034179688,717.9929809570312
5,1,2,ligeramente,7,217.73414611816406,267.11712646484375,706.7160034179688,717.9929809570312
5,1,2,dulce.,8,269.49310302734375,294.5131530761719,706.7160034179688,717.9929809570312
5,1,2,Se,9,296.8891296386719,306.9151306152344,706.7160034179688,717.9929809570312
5,1,2,sirven,10,309.2911071777344,333.98712158203125,706.7160034179688,717.9929809570312
5,1,2,calientes,11,336.36309814453125,372.9940185546875,706.7160034179688,717.9929809570312
5,1,2,y,12,375.3699951171875,380.22998046875,706.7160034179688,717.9929809570312
5,1,2,rellenas,13,382.60595703125,414.4399108886719,706.7160034179688,717.9929809570312
5,1,2,de,14,416.8158874511719,427.1929016113281,706.7160034179688,717.9929809570312
5,1,2,queso,15,429.5688781738281,455.1648864746094,706.7160034179688,717.9929809570312
5,1,2,de,16,457.5408630371094,467.9178771972656,706.7160034179688,717.9929809570312
5,1,2,mano,17,470.2938537597656,494.27886962890625,706.7160034179688,717.9929809570312
5,1,2,que,18,496.65484619140625,512.350830078125,706.7160034179688,717.9929809570312
5,2,2,se,0,63.761199951171875,73.22020721435547,717.5159912109375,728.79296875
5,2,2,derrite,1,75.21820831298828,102.31721496582031,717.5159912109375,728.79296875
5,2,2,suavemente,2,104.31521606445312,155.30020141601562,717.5159912109375,728.79296875
5,2,2,en,3,157.29820251464844,167.67520141601562,717.5159912109375,728.79296875
5,2,2,cada,4,169.67320251464844,189.09519958496094,717.5159912109375,728.79296875
5,2,2,"bocado,",5,191.09320068359375,224.564208984375,717.5159912109375,728.79296875
5,2,2,pueden,6,228.5557098388672,259.9566955566406,717.5159912109375,728.79296875
5,2,2,combinarse,7,261.9501953125,310.4971008300781,717.5159912109375,728.79296875
5,2,2,con,8,312.4906005859375,327.8454895019531,717.5159912109375,728.79296875
5,2,2,"natilla,",9,329.8434753417969,357.0144958496094,717.5159912109375,728.79296875
5,2,2,"carne,",10,359.0124816894531,384.5815124511719,717.5159912109375,728.79296875
5,2,2,pollo.,11,386.5794982910156,409.5924987792969,717.5159912109375,728.79296875
5,2,2,Son,12,411.5904846191406,427.3854675292969,717.5159912109375,728.79296875
5,2,2,el,13,429.3834533691406,436.52947998046875,717.5159912109375,728.79296875
5,2,2,encuentro,14,438.5274658203125,481.0884704589844,717.5159912109375,728.79296875
5,2,2,perfec-,15,483.0864562988281,512.443603515625,717.5159912109375,728.79296875
5,3,2,to,0,63.761199951171875,72.50920104980469,728.3159790039062,739.5929565429688
5,3,2,entre,1,74.3362045288086,96.17021179199219,728.3159790039062,739.5929565429688
5,3,2,lo,2,97.9972152709961,105.58421325683594,728.3159790039062,739.5929565429688
5,3,2,rústico,3,107.41121673583984,135.7792205810547,728.3159790039062,739.5929565429688
5,3,2,y,4,137.60621643066406,142.46621704101562,728.3159790039062,739.5929565429688
5,3,2,lo,5,144.293212890625,151.88021850585938,728.3159790039062,739.5929565429688
5,3,2,sabroso.,6,153.70721435546875,189.1312255859375,728.3159790039062,739.5929565429688
